m,BRinv,Gh_SM,Ginv_per_lam2,LZ2024,Mdm,Mdm_ref,Mh,Omega,PandaX4T,XENON1T,Xf,lam_planck,n_iter,sSIn,sSIn_per_lam2,sSIp,sSIp_per_lam2,sigmaV
54.5,0.0450019,0.00394414132090402,2.3835267909597997,2.342659e-48,54.5000114,54.5000129,125.548349,0.118899499,3.964379e-47,5.453363e-47,24.10206,0.008830399548722742,6,1.523005e-46,1.953173e-42,1.482826e-46,1.901645e-42,1.880043e-28
55.0,0.02780578,0.00394414125975312,2.3153074024688,2.353087e-48,55.0000089,55.0000127,125.548349,0.120551565,3.967496e-47,5.497555e-47,24.03948,0.00698011989186825,7,9.340378e-47,1.9170729999999996e-42,9.093849e-47,1.8664739999999997e-42,1.32685e-28
55.5,0.01607458,0.00394414064757692,2.2443635242307995,2.363688e-48,55.5000068,55.5000126,125.548349,0.119391395,3.969028e-47,5.541173e-47,24.00059,0.005358192195267805,6,5.403137e-47,1.881955e-42,5.260463e-47,1.8322609999999998e-42,8.910723e-29
56.0,0.01002012,0.0039441410950268796,2.1704290497312,2.374453e-48,56.0000054,56.0000125,125.548349,0.116953082,3.969186e-47,5.584115e-47,24.00461,0.004288708688285302,8,3.398637e-47,1.8477859999999998e-42,3.308853e-47,1.798971e-42,6.609285e-29
56.5,0.005899088,0.003944141357613401,2.093186423866,2.385373e-48,56.5000041,56.5000124,125.548349,0.119756084,3.968942e-47,5.626283e-47,23.91889,0.00334386963975173,6,2.02891e-47,1.81453e-42,1.975288e-47,1.7665730000000002e-42,4.684258e-29
57.0,0.003610169,0.00394414056583284,2.0122543416716,2.396439e-48,57.0000033,57.0000123,125.548349,0.119600719,3.969265e-47,5.667803e-47,23.85196,0.002664917373564626,6,1.265649e-47,1.7821559999999998e-42,1.232184e-47,1.735034e-42,3.516247e-29
57.5,0.002296407,0.00394414110490686,1.9271689509314,2.407642e-48,57.5000026,57.5000122,125.548349,0.120966737,3.971126e-47,5.709302e-47,23.77062,0.002170400102205294,5,8.246597e-48,1.750633e-42,8.028454e-48,1.7043239999999998e-42,2.801029e-29
58.0,0.001343211,0.00394414077182416,1.8373522817584,2.418975e-48,58.0000021,58.0000121,125.548349,0.119096897,3.975496e-47,5.750824e-47,23.70142,0.0016991972507750038,4,4.96591e-48,1.7199309999999998e-42,4.834493e-48,1.6744149999999998e-42,2.101531e-29
58.5,0.0008142102,0.0039441406440956,1.742073559044,2.430431e-48,58.5000016,58.500012,125.548349,0.120199186,3.983324e-47,5.792363e-47,23.60049,0.001358275457314678,4,3.117946e-48,1.690023e-42,3.035398e-48,1.64528e-42,1.682211e-29
59.0,0.0005044755,0.00394414093255623,1.6403806744376999,2.442e-48,59.0000013,59.0000119,125.548349,0.119356395,3.994036e-47,5.833918e-47,23.49409,0.0011016234951198164,2,2.015604e-48,1.6608819999999998e-42,1.962219e-48,1.6168919999999998e-42,1.426548e-29
