m_in,lam_hs,status,Mdm,Mh,Omega,Xf,sSIp,sSIn,sigmaV,Gh,BRinv,LZ2024,XENON1T,PandaX4T
316.75927863265133,0.44307266724339245,0,316.759377,125.548349,0.00639374595,27.00501,9.76932e-45,1.006163e-44,4.610963e-25,0.003944141,0.0,9.569459e-48,2.710886e-46,1.654013e-46
36.376215660796916,0.00013562652905891044,0,36.3762159,125.548349,42104.321,10.30895,7.981711e-50,8.193277e-50,5.956817e-33,0.003944213,0.0,2.162392e-48,4.310846e-47,3.903496e-47
93.40754307584191,0.000336387848856281,0,93.4075433,125.548349,733.349541,13.88546,7.138651e-50,7.337257e-50,2.047312e-30,0.003944141,0.0,3.282944e-48,8.65056e-47,6.027925e-47
915.1123144799897,0.012559130652991466,0,915.112315,125.548349,43.8086696,19.02157,8.581806e-49,8.854842e-49,4.467703e-29,0.003944141,0.0,2.665667e-47,7.81443e-46,4.585605e-46
176.5954505414075,0.03326607906017137,0,176.595464,125.548349,0.289069445,22.54702,1.88803e-46,1.942071e-46,8.475372e-27,0.003944141,0.0,5.536458e-48,1.570538e-46,1.000677e-46
357.57424365194237,0.02236053042409742,0,357.574248,125.548349,2.25186616,21.16308,1.931198e-47,1.98942e-47,1.015126e-27,0.003944141,0.0,1.078653e-47,3.06322e-46,1.816954e-46
168.2699641126293,0.06793801056716472,0,168.269992,125.548349,0.0713391966,23.92558,8.721841e-46,8.970489e-46,3.683128e-26,0.003944141,0.0,5.308187e-48,1.50183e-46,9.560404e-47
683.2748092334753,0.7872633105314736,0,683.27489,125.548349,0.00958050558,27.36507,6.196444e-45,6.390478e-45,3.050067e-25,0.003944141,0.0,2.01743e-47,5.863082e-46,3.404337e-46
12.000124541416698,0.00987566285678754,0,12.0001822,125.548349,100.635455,14.15481,3.940678e-45,4.037501e-45,1.59122e-29,0.004403959,0.1044102,1.716288e-47,2.386177e-46,2.390895e-46
114.07186092494985,0.00014136633455663034,0,114.071861,125.548349,5153.37864,12.12985,8.373403e-51,8.608379e-51,2.520887e-31,0.003944141,0.0,3.820815e-48,1.037183e-46,7.070787e-47
82.9223813842255,0.009543332905708222,0,82.9223894,125.548349,1.54591295,20.16683,7.33115e-47,7.53403e-47,1.240441e-27,0.003944141,0.0,3.027163e-48,7.799324e-47,5.387117e-47
13.325980035849447,0.01075698700123028,0,13.3260366,125.548349,83.6380492,14.42861,3.79929e-45,3.893426e-45,1.938814e-29,0.004487274,0.1210385,1.094113e-47,1.631797e-46,1.688102e-46
478.3690154056198,0.0004904757459641969,0,478.369015,125.548349,5314.64841,13.49157,5.059143e-51,5.214365e-51,2.628166e-31,0.003944141,0.0,1.435162e-47,4.082291e-46,2.364991e-46
104.47004049375042,0.022959286037423837,0,104.470056,125.548349,0.309351389,21.9838,2.644404e-46,2.718334e-46,8.1127e-27,0.003944141,0.0,3.566626e-48,9.565247e-47,6.637549e-47
105.14237163826346,0.00010439334792404483,0,105.142372,125.548349,7744.56526,11.56993,5.395751e-51,5.546643e-51,1.653122e-31,0.003944141,0.0,3.584217e-48,9.621419e-47,6.668214e-47
320.6715384816913,0.23986446562786287,0,320.671591,125.548349,0.0202784302,25.82382,2.790599e-45,2.874163e-45,1.38971e-25,0.003944141,0.0,9.685941e-48,2.744481e-46,1.669576e-46
191.71510787753095,0.14553726512533144,0,191.715161,125.548349,0.0210829065,25.28481,3.025949e-45,3.113359e-45,1.305613e-25,0.003944141,0.0,5.949027e-48,1.686684e-46,1.079837e-46
507.30095158759804,0.5137548040653331,0,507.301023,125.548349,0.0120453223,26.84419,4.910497e-45,5.061678e-45,2.404027e-25,0.003944141,0.0,1.518514e-47,4.310163e-46,2.512716e-46
